Date,Clicks,Impressions,CTR,Position
2025-07-15,1,9,11.11%,30.6
2025-07-16,6,120,5%,8.6
2025-07-17,2,84,2.38%,6.2
2025-07-18,0,107,0%,7.4
2025-07-19,2,45,4.44%,9
2025-07-20,2,67,2.99%,10.6
2025-07-21,4,119,3.36%,7.9
2025-07-22,9,112,8.04%,6.6
2025-07-23,8,111,7.21%,7.5
2025-07-24,6,95,6.32%,9.2
2025-07-25,7,133,5.26%,7.6
2025-07-26,1,60,1.67%,16.4
2025-07-27,1,51,1.96%,19.4
2025-07-28,2,127,1.57%,8.8
2025-07-29,6,122,4.92%,8.8
2025-07-30,4,111,3.6%,10.4
2025-07-31,6,114,5.26%,10.9
2025-08-01,4,107,3.74%,14.3
2025-08-02,0,43,0%,13.8
2025-08-03,3,85,3.53%,17
2025-08-04,9,151,5.96%,7.5
2025-08-05,5,138,3.62%,10.8
2025-08-06,9,120,7.5%,11.4
2025-08-07,3,113,2.65%,8.2
2025-08-08,6,123,4.88%,11.1
2025-08-09,2,46,4.35%,19.7
2025-08-10,1,66,1.52%,21.9
2025-08-11,3,110,2.73%,9.1
2025-08-12,1,152,0.66%,8.4
2025-08-13,3,96,3.12%,9.5
2025-08-14,5,102,4.9%,6.2
2025-08-15,5,127,3.94%,6.8
2025-08-16,2,56,3.57%,22.1
2025-08-17,0,66,0%,17
2025-08-18,2,124,1.61%,8.7
2025-08-19,4,127,3.15%,10
2025-08-20,3,135,2.22%,8.8
2025-08-21,4,102,3.92%,11
2025-08-22,4,129,3.1%,11.2
2025-08-23,1,61,1.64%,20.9
2025-08-24,2,57,3.51%,18.2
2025-08-25,3,138,2.17%,9.6
2025-08-26,4,176,2.27%,20.9
2025-08-27,4,129,3.1%,10.5
2025-08-28,5,135,3.7%,11.6
2025-08-29,7,118,5.93%,9.2
2025-08-30,0,50,0%,14.2
2025-08-31,0,56,0%,13.3
2025-09-01,3,94,3.19%,8.5
2025-09-02,5,160,3.12%,8.5
2025-09-03,2,137,1.46%,6.6
2025-09-04,5,140,3.57%,6.7
2025-09-05,5,105,4.76%,10.4
2025-09-06,3,87,3.45%,14.8
2025-09-07,0,62,0%,11.6
2025-09-08,8,146,5.48%,9.8
2025-09-09,4,142,2.82%,8.2
2025-09-10,6,144,4.17%,10.6
2025-09-11,8,117,6.84%,9.1
2025-09-12,2,104,1.92%,8
2025-09-13,3,58,5.17%,11.4
2025-09-14,3,66,4.55%,12.3
2025-09-15,4,146,2.74%,7.4
2025-09-16,5,157,3.18%,7.9
2025-09-17,8,170,4.71%,7.9
2025-09-18,5,122,4.1%,6.4
2025-09-19,4,125,3.2%,7.7
2025-09-20,1,44,2.27%,10.7
2025-09-21,3,59,5.08%,10.8
2025-09-22,8,160,5%,6.8
2025-09-23,4,147,2.72%,5.6
2025-09-24,6,116,5.17%,7.3
2025-09-25,7,117,5.98%,9.3
2025-09-26,10,120,8.33%,9
2025-09-27,1,41,2.44%,11
2025-09-28,0,76,0%,12.7
2025-09-29,3,162,1.85%,7.5
2025-09-30,7,139,5.04%,6.8
2025-10-01,4,128,3.12%,9.7
2025-10-02,8,132,6.06%,7.3
2025-10-03,6,130,4.62%,8.3
2025-10-04,1,68,1.47%,12.1
2025-10-05,4,49,8.16%,15.7
2025-10-06,7,162,4.32%,6.9
2025-10-07,6,134,4.48%,9.2
2025-10-08,3,112,2.68%,6.2
2025-10-09,6,142,4.23%,7.3
2025-10-10,3,120,2.5%,7.9
2025-10-11,1,74,1.35%,11.5
2025-10-12,0,56,0%,16.2
2025-10-13,1,141,0.71%,8.7
2025-10-14,5,184,2.72%,6.6
2025-10-15,5,156,3.21%,6.6
2025-10-16,5,142,3.52%,9.1
2025-10-17,3,109,2.75%,9.6
2025-10-18,0,57,0%,14.3
2025-10-19,0,90,0%,9.9
2025-10-20,4,139,2.88%,9.2
