Country,Clicks,Impressions,CTR,Position
United States,1864,55413,3.36%,9.8
India,26,362,7.18%,12.92
Philippines,9,167,5.39%,11.31
Canada,5,317,1.58%,12.07
United Kingdom,4,358,1.12%,19.99
Netherlands,2,79,2.53%,20.44
Bangladesh,2,41,4.88%,16.17
Mexico,1,81,1.23%,13.43
Indonesia,1,63,1.59%,23.79
Vietnam,1,58,1.72%,27.52
Ukraine,1,53,1.89%,25.36
Tunisia,1,31,3.23%,8.61
Greece,1,20,5%,6.75
Portugal,1,19,5.26%,13.42
South Africa,1,16,6.25%,12.62
Romania,1,14,7.14%,32.21
United Arab Emirates,1,10,10%,12.6
Costa Rica,1,4,25%,11.5
Zambia,1,2,50%,1.5
Germany,0,454,0%,27.94
Ireland,0,221,0%,25.52
Switzerland,0,180,0%,29.64
Brazil,0,159,0%,22.34
Spain,0,57,0%,14.53
Italy,0,55,0%,8.98
France,0,55,0%,10.49
Pakistan,0,53,0%,18.75
Ghana,0,46,0%,11.61
Australia,0,40,0%,14.93
Japan,0,37,0%,18.16
Turkey,0,36,0%,14
Argentina,0,35,0%,22.43
South Korea,0,30,0%,16.1
Russia,0,29,0%,33.79
Colombia,0,28,0%,15.14
Egypt,0,25,0%,22.88
Taiwan,0,25,0%,47.36
Saudi Arabia,0,24,0%,18.92
Kenya,0,23,0%,7.26
Thailand,0,23,0%,27.74
Malaysia,0,21,0%,25.14
Ecuador,0,19,0%,14.32
Nigeria,0,17,0%,8.47
Peru,0,15,0%,19.13
Poland,0,14,0%,11.21
China,0,13,0%,6.15
Sweden,0,12,0%,5.17
Venezuela,0,12,0%,11.92
Morocco,0,12,0%,21.75
Algeria,0,12,0%,26.58
Bosnia & Herzegovina,0,11,0%,4.36
Oman,0,10,0%,13.1
Dominican Republic,0,10,0%,38
Lithuania,0,9,0%,7.33
Chile,0,9,0%,13.89
Jordan,0,8,0%,10
Jamaica,0,7,0%,4.29
Ethiopia,0,7,0%,6.43
Belgium,0,7,0%,9.71
Norway,0,7,0%,10.14
Denmark,0,7,0%,11.29
Iraq,0,7,0%,18.29
Guatemala,0,7,0%,37
Honduras,0,6,0%,2.17
Finland,0,6,0%,2.83
Israel,0,6,0%,4.83
Luxembourg,0,6,0%,5.33
Hong Kong,0,6,0%,24.33
Hungary,0,6,0%,33
Armenia,0,6,0%,33.33
Puerto Rico,0,5,0%,3.6
Lebanon,0,5,0%,7.2
Bulgaria,0,5,0%,10.2
Czechia,0,5,0%,12.4
Georgia,0,5,0%,24.8
Qatar,0,4,0%,3
Singapore,0,4,0%,3.5
Austria,0,4,0%,7.75
Palestine,0,4,0%,12.25
Cambodia,0,4,0%,15
Iran,0,4,0%,22.25
Uruguay,0,4,0%,23.75
New Zealand,0,4,0%,26.5
Albania,0,4,0%,27
Paraguay,0,4,0%,31
Syria,0,4,0%,32
Kazakhstan,0,4,0%,54.5
Nicaragua,0,3,0%,5.67
Bolivia,0,3,0%,6.67
Belize,0,3,0%,11
Côte d’Ivoire,0,3,0%,11.33
Slovakia,0,3,0%,11.33
Cameroon,0,3,0%,22
Senegal,0,3,0%,23.67
Serbia,0,3,0%,24.67
Estonia,0,3,0%,33.67
Latvia,0,3,0%,37.33
Croatia,0,3,0%,38
Unknown Region,0,3,0%,58.33
Moldova,0,2,0%,1
Sint Maarten,0,2,0%,1
Uganda,0,2,0%,1
Sri Lanka,0,2,0%,4
Aruba,0,2,0%,5.5
Guyana,0,2,0%,7
Bahamas,0,2,0%,9.5
Slovenia,0,2,0%,10
Macedonia,0,2,0%,10.5
Nepal,0,2,0%,13
Kuwait,0,2,0%,15.5
Mongolia,0,2,0%,15.5
El Salvador,0,2,0%,18
Trinidad & Tobago,0,2,0%,22.5
Libya,0,2,0%,76
Belarus,0,1,0%,1
Mozambique,0,1,0%,1
Brunei,0,1,0%,2
Congo - Kinshasa,0,1,0%,3
Kosovo,0,1,0%,6
Burkina Faso,0,1,0%,7
Turkmenistan,0,1,0%,7
U.S. Virgin Islands,0,1,0%,7
Cyprus,0,1,0%,9
Bahrain,0,1,0%,10
Malta,0,1,0%,10
Iceland,0,1,0%,11
Malawi,0,1,0%,11
Andorra,0,1,0%,12
Uzbekistan,0,1,0%,31
Kyrgyzstan,0,1,0%,36
Myanmar (Burma),0,1,0%,46
Panama,0,1,0%,54
Suriname,0,1,0%,54
Montenegro,0,1,0%,62
