Top pages,Clicks,Impressions,CTR,Position
https://cares360.org/,1217,40968,2.97%,10.76
https://www.cares360.org/,393,13449,2.92%,6.56
https://cares360.org/about,133,4921,2.7%,11.49
https://cares360.org/about-m,92,4754,1.94%,7.61
https://cares360.org/services,48,2251,2.13%,10.49
https://staging.cares360.org/about-m,18,546,3.3%,14.22
https://cares360.org/index.php/about,17,465,3.66%,9.55
https://cares360.org/services-m,7,1511,0.46%,7.44
https://cares360.org/insurance,5,1210,0.41%,5.91
https://cares360.org/index.php/services,5,129,3.88%,20.98
https://cares360.org/~lvzwzycm/index.php/about,4,137,2.92%,20.03
https://staging.cares360.org/index.php/about-m,3,46,6.52%,10.54
https://cares360.org/insurance-m,2,1327,0.15%,4.15
https://cares360.org/~lvzwzycm/about,2,108,1.85%,6.39
https://cares360.org/~lvzwzycm/index.php/about-m,2,29,6.9%,13.31
https://cares360.org/privacy-policy,1,741,0.13%,2.2
https://staging.cares360.org/insurance,1,186,0.54%,27.35
https://cares360.org/component/content/category/2-uncategorised,1,34,2.94%,7.26
https://staging.cares360.org/,0,386,0%,22.23
https://cares360.org/?view=category&id=2,0,312,0%,8.02
https://cares360.org/component/content/category/2-site-pages,0,208,0%,10.62
https://cares360.org/index.php/insurance,0,79,0%,4.9
https://staging.cares360.org/index.php/services,0,79,0%,9.38
https://cares360.org/~lvzwzycm/insurance,0,48,0%,7.85
https://cares360.org/index.php/about-m,0,46,0%,6.46
https://cares360.org/index.php/insurance-m,0,46,0%,6.46
https://cares360.org/index.php/services-m,0,46,0%,6.46
https://cares360.org/index.php/component/content/article/16-privacy-policy?catid=2,0,29,0%,18.03
https://cares360.org/~lvzwzycm/component/content/category/2-uncategorised,0,24,0%,2.33
https://cares360.org/component/content/article/1-product,0,24,0%,3.62
https://cares360.org/component/content/article/16-privacy-policy,0,21,0%,8
https://cares360.org/~lvzwzycm/services,0,20,0%,6.45
https://cares360.org/index.php/component/content/article/1-product,0,18,0%,5
https://cares360.org/~lvzwzycm/index.php/insurance-m,0,17,0%,11.29
https://cares360.org/index.php/component/content/category/2-uncategorised,0,16,0%,13.06
https://cares360.org/~lvzwzycm/,0,14,0%,4.86
https://cares360.org/index.php/component/content/article/11-features,0,13,0%,7
https://cares360.org/~lvzwzycm/index.php/services-m,0,13,0%,9.54
https://cares360.org/~lvzwzycm/index.php/insurance,0,11,0%,7.73
https://cares360.org/index.php?view=article&id=11:features&catid=2,0,4,0%,5.75
https://cares360.org/~lvzwzycm/component/content/article/1-product,0,3,0%,5.67
https://staging.cares360.org/index.php/insurance,0,2,0%,1
https://cares360.org/index.php?view=article&id=1:product&catid=2,0,2,0%,4
https://staging.cares360.org/index.php/services-m,0,1,0%,4
https://cares360.org/~lvzwzycm/component/content/article/1-product?catid=2,0,1,0%,5
https://cares360.org/component/content/article/11-features,0,1,0%,6
