# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Nashville CARES
# Property: Cares360 Clinic
# ----------------------------------------
# 
# All Users
# Start date: 20251001
# End date: 20260630
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,15841,9730,1.6280575539568345,6.577286742034944,43162,915,0
/services,1260,899,1.4015572858731924,28.626251390433815,3412,315,0
/about,958,569,1.6836555360281196,55.212653778558874,2912,89,0
(not set),327,100,3.27,41.05,1536,17,0
/about-m,318,261,1.2183908045977012,39.35632183908046,960,24,0
/services-m,226,171,1.3216374269005848,31.742690058479532,581,72,0
/insurance,201,146,1.3767123287671232,22.32191780821918,560,19,0
/services/telehealth,104,15,6.933333333333334,326.8666666666667,303,2,0
/insurance-m,71,71,1,8.901408450704226,184,10,0
/index.php,58,10,5.8,41.8,86,0,0
/~lvzwzycm/,58,35,1.6571428571428573,33.285714285714285,175,2,0
/services/lab-locator,56,12,4.666666666666667,71.83333333333333,162,0,0
/index.php/component/content/article/16-privacy-policy,40,82,0.4878048780487805,0.5,197,0,0
/privacy-policy,31,32,0.96875,4.21875,95,0,0
/telehealth,26,3,8.666666666666666,43.666666666666664,56,0,0
/~lvzwzycm/about,23,21,1.0952380952380953,38.476190476190474,65,0,0
/component/content/article/16-privacy-policy,19,16,1.1875,1.125,59,0,0
/sitemap,18,20,0.9,2.6,47,0,0
/component/content/article/-1,16,2,8,2,23,0,0
/404-error,13,8,1.625,1.625,27,0,0
/index.php/services,13,21,0.6190476190476191,0.19047619047619047,55,0,0
/index.php/about-m,11,15,0.7333333333333333,0.5333333333333333,51,0,0
/index.php/services-m,10,19,0.5263157894736842,0,39,0,0
/~lvzwzycm/services,10,8,1.25,64.125,25,1,0
/component/content/article/18-telehealth,5,1,5,0,8,0,0
/component/content/category/2-site-pages,5,5,1,1.8,15,0,0
/reporting/b98ebe8e-1c86-4ebc-8c4e-95908429d6cd/page/3888788,4,2,2,330,8,0,0
/reporting/b98ebe8e-1c86-4ebc-8c4e-95908429d6cd/page/3888829,4,2,2,75.5,4,0,0
/u/1/reporting/b98ebe8e-1c86-4ebc-8c4e-95908429d6cd/page/DpTQ/edit,4,2,2,2,4,0,0
/reporting/b98ebe8e-1c86-4ebc-8c4e-95908429d6cd/page/p_6apzr3i5qc,3,2,1.5,58.5,3,0,0
/u/1/reporting/b98ebe8e-1c86-4ebc-8c4e-95908429d6cd/page/YoTQ/edit,3,2,1.5,9,3,0,0
/u/1/reporting/b98ebe8e-1c86-4ebc-8c4e-95908429d6cd/page/p_6apzr3i5qc/edit,3,2,1.5,1.5,3,0,0
/u/1/reporting/b98ebe8e-1c86-4ebc-8c4e-95908429d6cd/page/YoTQ,2,2,1,2,5,0,0
/~lvzwzycm/insurance-m,2,1,2,11,4,0,0
/error-404,1,1,1,6,2,0,0
/index.php/about,1,1,1,0,2,0,0
/~lvzwzycm/services-m,1,1,1,22,2,0,0
