Top queries,Clicks,Impressions,CTR,Position
cares360,205,449,45.66%,1.05
cares 360,111,355,31.27%,1.4
nashville cares,64,4499,1.42%,5.62
nashville cares clinic,49,1721,2.85%,4.06
cares 360 memphis,48,105,45.71%,1
cares 360 community clinic,47,151,31.13%,1.05
nashville cares 360,37,121,30.58%,1.02
my house clinic,30,470,6.38%,2.79
care 360,19,526,3.61%,41.24
nashville cares clinic at my house,19,167,11.38%,3.6
the corner memphis,19,157,12.1%,2.76
nashville cares metroplex,15,154,9.74%,2.12
std testing near me,14,761,1.84%,8.25
nashville cares my house,13,134,9.7%,2.84
std testing nashville,12,1185,1.01%,24.72
my house nashville,12,546,2.2%,10.03
free std testing near me,12,541,2.22%,7.39
free std testing memphis,11,122,9.02%,1.87
free std testing nashville,9,1115,0.81%,21.61
cares clinic,7,122,5.74%,24.68
care360,7,91,7.69%,5.87
360 care,6,210,2.86%,6.43
gender affirming care nashville,5,133,3.76%,2.98
cares 360 community clinic nashville,5,17,29.41%,1
hiv testing near me,4,147,2.72%,5.67
sti testing near me,3,209,1.44%,8
care 360 clinic,3,79,3.8%,8.59
the corner,3,16,18.75%,1.56
transgender hormone therapy near me,3,3,100%,1
std testing,2,423,0.47%,4.88
std testing memphis,2,164,1.22%,5.8
free clinic near me,2,58,3.45%,12.24
same day std testing nashville,2,39,5.13%,16.74
urgent care near me,2,35,5.71%,36.23
360 health,2,34,5.88%,21.71
free sti testing near me,2,30,6.67%,2.93
free std testing near me no insurance,2,15,13.33%,5.87
glenda moses,2,13,15.38%,1.23
free std testing memphis tn,2,11,18.18%,5
nashville care,1,364,0.27%,3.5
cares,1,205,0.49%,3.8
nashville cares nashville tn,1,149,0.67%,8.98
free hiv testing near me,1,140,0.71%,5.45
free std testing,1,128,0.78%,5.92
free sti testing,1,116,0.86%,5.34
inclusive health nashville,1,105,0.95%,7.27
std testing memphis tn,1,100,1%,5.18
friends for all clinic,1,88,1.14%,7.18
633 thompson lane,1,80,1.25%,5.56
hiv testing nashville,1,79,1.27%,8.85
nashville std clinic,1,73,1.37%,28.99
hiv test,1,57,1.75%,3.37
360 cares,1,52,1.92%,5.38
free std testing nashville tn,1,50,2%,14.18
free testing clinic near me,1,41,2.44%,6
nashvillecares,1,36,2.78%,7.58
hiv testing,1,34,2.94%,4.71
rapid hiv test near me,1,31,3.23%,7.1
free hiv testing,1,29,3.45%,4.07
free health clinic nashville,1,26,3.85%,10.04
sti clinic near me,1,25,4%,6.8
urgent care nashville,1,25,4%,38.16
kassem bourgi,1,24,4.17%,7.5
clinic,1,24,4.17%,24
std testing nashville free,1,23,4.35%,18.04
walk in clinic nashville,1,22,4.55%,29.95
free clinics in nashville tennessee,1,21,4.76%,17.24
std testing near me free,1,18,5.56%,6.94
free sti clinic near me,1,16,6.25%,4.88
free clinics for the uninsured,1,16,6.25%,11.62
sexual health clinic near me,1,13,7.69%,2.15
std screening near me,1,11,9.09%,2.64
where can i get a free tb test,1,11,9.09%,3.82
free clinics near me no insurance,1,11,9.09%,10.91
std clinic near me free,1,9,11.11%,1.56
sti free testing,1,8,12.5%,5
free std and hiv testing near me,1,8,12.5%,5.62
tb testing near me,1,8,12.5%,10
clinic 360,1,8,12.5%,17.62
myhouse,1,7,14.29%,1.86
free pap smear near me,1,7,14.29%,3
sti testing free,1,7,14.29%,5.57
tb test nashville,1,7,14.29%,9
free clinics nashville tn,1,7,14.29%,22
same day sti testing near me,1,5,20%,2.6
free health clinic near me,1,5,20%,13.4
ahf wellness centers,1,4,25%,1
transgender healthcare near me,1,4,25%,1.75
ready clinic near me,1,4,25%,2
std panel test near me,1,4,25%,2.75
free chlamydia testing near me,1,4,25%,4.25
rapid herpes test near me,1,4,25%,6
free sti and std testing near me,1,4,25%,7.5
sti and hiv testing near me,1,3,33.33%,1.67
free walk in std testing near me,1,3,33.33%,3
pap smear test near me,1,3,33.33%,3.33
herpes testing near me free,1,3,33.33%,3.67
free sti std testing near me,1,3,33.33%,4
low cost clinic near me,1,3,33.33%,12
clinic to get tested for std,1,2,50%,1.5
low cost sti testing near me,1,2,50%,2
360 medical center,1,2,50%,4
walk in abortion clinic near me,1,2,50%,8.5
std test free,1,2,50%,12
lgbtq friendly doctors near me,1,2,50%,20.5
nashville clinics,1,2,50%,28.5
360 medical centers,1,1,100%,1
clincis,1,1,100%,1
free clinics for pregnancy,1,1,100%,1
free std/hiv testing near me,1,1,100%,1
get an ekg near me,1,1,100%,1
health clinic near me for std testing,1,1,100%,1
lab clinics near me,1,1,100%,1
low cost doctor,1,1,100%,1
std clinic near me no insurance,1,1,100%,1
where to go get tested for stds near me,1,1,100%,1
herpe testing,1,1,100%,2
para trans,1,1,100%,2
private std testing,1,1,100%,2
std testing free clinic,1,1,100%,2
std testing free no insurance,1,1,100%,2
where to get pep near me,1,1,100%,4
same day iud insertion near me,1,1,100%,5
std testing full panel,1,1,100%,5
cna clinic,1,1,100%,6
free std testing near me for men,1,1,100%,6
std testing rapid results,1,1,100%,6
clinics to volunteer at near me,1,1,100%,7
community care near me,1,1,100%,10
where can i go for a uti near me,1,1,100%,10
free clinic open on weekends,1,1,100%,14
community health clinic,1,1,100%,21
nashville urgent care clinics,1,1,100%,21
rental deposit assistance nashville tn,1,1,100%,56
free hep c testing near me,0,743,0%,1.22
nashville std testing,0,439,0%,29.34
std test nashville,0,343,0%,34.06
no insurance dr,0,176,0%,1.06
sti testing nashville,0,162,0%,13.39
cares health,0,159,0%,30.97
std testing brentwood tn,0,158,0%,29.25
tennessee herpes support,0,143,0%,27.46
"nashville cares, social service, nashville",0,140,0%,11.49
633 thompson lane nashville tn,0,134,0%,7.67
sti testing,0,119,0%,5.12
tb test near me,0,111,0%,2.44
rapid covid test nashville,0,98,0%,66.66
all about you healthcare,0,97,0%,17.15
care 360 program,0,97,0%,68.91
std testing nashville tn,0,95,0%,23.19
care,0,91,0%,4.4
std clinic nashville,0,90,0%,19.07
what is care 360,0,87,0%,77.16
nextcare urgent care,0,77,0%,1.19
360 healthcare,0,76,0%,41.09
home health care near me,0,75,0%,50.16
std clinic near me,0,73,0%,7.97
health 360,0,71,0%,39.92
healthcare to you,0,67,0%,70.96
ccare,0,65,0%,3.12
care nashville,0,63,0%,23.51
rapid covid testing nashville,0,63,0%,59.89
std testing germantown tn,0,58,0%,16.76
clinic near me,0,57,0%,22.44
free hiv testing nashville,0,54,0%,22.28
