# ----------------------------------------
# Queries: Organic Google Search query
# Account: Nashville CARES
# Property: Cares360 Clinic
# ----------------------------------------
# 
# All Users
# Start date: 20251001
# End date: 20260630
Organic Google Search query,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position
cares360,191,402,0.47512437810945274,1.0572139303482586
cares 360,104,310,0.33548387096774196,1.4612903225806453
cares 360 community clinic,45,148,0.30405405405405406,1.0472972972972974
nashville cares clinic,39,1376,0.028343023255813952,4.221656976744185
cares 360 memphis,35,79,0.4430379746835443,1
nashville cares 360,32,106,0.3018867924528302,1.028301886792453
nashville cares,27,3390,0.007964601769911504,6.652802359882006
care 360,17,312,0.05448717948717949,25.772435897435898
my house clinic,17,354,0.0480225988700565,3.0141242937853105
nashville cares my house,11,113,0.09734513274336283,2.6194690265486726
nashville cares metroplex,10,101,0.09900990099009901,1.5742574257425743
std testing near me,10,616,0.016233766233766232,8.501623376623376
std testing nashville,8,1028,0.007782101167315175,25.05739299610895
the corner memphis,8,77,0.1038961038961039,4.337662337662337
care360,7,80,0.0875,6.3
cares clinic,7,112,0.0625,26.258928571428573
360 care,6,188,0.031914893617021274,6.345744680851064
cares 360 community clinic nashville,5,17,0.29411764705882354,1
free std testing nashville,5,953,0.005246589716684155,21.687303252885624
free std testing near me,5,404,0.012376237623762377,7.866336633663367
my house nashville,5,282,0.01773049645390071,4.2304964539007095
gender affirming care nashville,4,106,0.03773584905660377,2.867924528301887
free std testing memphis,3,41,0.07317073170731707,2.2682926829268295
nashville cares clinic at my house,3,56,0.05357142857142857,4.982142857142858
360 health,2,29,0.06896551724137931,24.413793103448278
care 360 clinic,2,68,0.029411764705882353,8.705882352941178
glenda moses,2,13,0.15384615384615385,1.2307692307692308
transgender hormone therapy near me,2,2,1,1
360 cares,1,38,0.02631578947368421,5.157894736842105
360 medical center,1,2,0.5,4
360 medical centers,1,1,1,1
633 thompson lane,1,80,0.0125,5.5625
cares,1,178,0.0056179775280898875,3.842696629213483
clinic 360,1,8,0.125,17.625
clinic to get tested for std,1,2,0.5,1.5
clinics to volunteer at near me,1,1,1,7
cna clinic,1,1,1,6
community care near me,1,1,1,10
free chlamydia testing near me,1,4,0.25,4.25
free clinic near me,1,28,0.03571428571428571,12.75
free clinics for the uninsured,1,12,0.08333333333333333,10.75
free clinics near me no insurance,1,8,0.125,8.75
free health clinic near me,1,3,0.3333333333333333,9.333333333333334
free hiv testing near me,1,110,0.00909090909090909,5.863636363636363
free pap smear near me,1,4,0.25,3
free std testing,1,106,0.009433962264150943,6.320754716981132
free std testing nashville tn,1,38,0.02631578947368421,14.078947368421053
free std testing near me no insurance,1,11,0.09090909090909091,6.909090909090909
free std/hiv testing near me,1,1,1,1
free sti and std testing near me,1,4,0.25,7.5
free sti testing,1,90,0.011111111111111112,5.711111111111111
friends for all clinic,1,74,0.013513513513513514,7.878378378378378
get an ekg near me,1,1,1,1
health clinic near me for std testing,1,1,1,1
herpes testing near me free,1,3,0.3333333333333333,3.6666666666666665
hiv testing,1,23,0.043478260869565216,4.782608695652174
hiv testing nashville,1,43,0.023255813953488372,10.186046511627907
hiv testing near me,1,103,0.009708737864077669,6.660194174757281
inclusive health nashville,1,101,0.009900990099009901,7.207920792079208
kassem bourgi,1,21,0.047619047619047616,7.523809523809524
lgbtq friendly doctors near me,1,2,0.5,20.5
low cost sti testing near me,1,2,0.5,2
nashville care,1,314,0.0031847133757961785,3.7038216560509554
nashville cares nashville tn,1,134,0.007462686567164179,9.276119402985074
nashville clinics,1,1,1,29
nashville urgent care clinics,1,1,1,21
nashvillecares,1,34,0.029411764705882353,7.911764705882353
para trans,1,1,1,2
ready clinic near me,1,4,0.25,2
rental deposit assistance nashville tn,1,1,1,56
same day std testing nashville,1,30,0.03333333333333333,18.433333333333334
same day sti testing near me,1,4,0.25,1.75
sexual health clinic near me,1,8,0.125,1.875
std test free,1,1,1,18
std testing,1,291,0.003436426116838488,5.237113402061856
std testing free clinic,1,1,1,2
std testing free no insurance,1,1,1,2
std testing memphis,1,83,0.012048192771084338,8.53012048192771
std testing rapid results,1,1,1,6
sti clinic near me,1,23,0.043478260869565216,6.913043478260869
sti free testing,1,7,0.14285714285714285,5.428571428571429
sti testing free,1,6,0.16666666666666666,6.166666666666667
sti testing near me,1,175,0.005714285714285714,7.828571428571428
tb test nashville,1,6,0.16666666666666666,9.333333333333334
urgent care nashville,1,16,0.0625,36.75
urgent care near me,1,26,0.038461538461538464,39.34615384615385
walk in abortion clinic near me,1,2,0.5,8.5
walk in clinic nashville,1,12,0.08333333333333333,28.583333333333332
where to get pep near me,1,1,1,4
where to go get tested for stds near me,1,1,1,1
"""+373 68 334 465"" kinetohelp",0,1,0,3
$10 rabies shot near me,0,1,0,6
2040 lee road,0,1,0,46
2162799240,0,1,0,17
24 hour hiv testing near me,0,2,0,10.5
24 hour pharmacy near me,0,1,0,141
24 hour urgent care nashville,0,1,0,51
2500 charlotte ave nashville tn,0,1,0,49
3055 lebanon pike nashville tn 37214,0,4,0,61.25
310-360,0,2,0,11
"3300 tchulatech dr, memphis, tennessee, 38118, united states of america",0,1,0,16
350 care,0,1,0,6
356 w 18th st,0,1,0,52
356 west 18th street,0,1,0,40
360,0,3,0,6.666666666666667
360 - 289,0,1,0,9
360 behavioral health,0,9,0,8.222222222222221
"360 behavioral health, medical & health",0,1,0,15
360 care insurance,0,10,0,9.6
360 care llc,0,2,0,5
360 care locations,0,12,0,11.5
360 care locations near me,0,2,0,8
360 care login,0,1,0,96
360 care phone number,0,9,0,17.666666666666668
360 case management,0,1,0,100
360 clinic,0,19,0,21.94736842105263
360 clinic near me,0,2,0,3
360 clinics,0,7,0,15.428571428571429
360 communities,0,1,0,3
360 community,0,2,0,3
360 community care,0,2,0,24
360 community services,0,2,0,10.5
360 complex care,0,1,0,8
360 counseling services,0,1,0,5
360 degree medical clinic,0,1,0,2
360 doctor,0,1,0,1
360 e eh crump blvd,0,1,0,38
360 e eh crump blvd memphis tn 38126,0,1,0,46
360 health and community,0,2,0,28
360 health and wellness,0,1,0,6
360 health assessment,0,4,0,50.75
360 health care,0,2,0,23
360 health center,0,1,0,31
360 health check,0,2,0,63.5
360 health clinic,0,1,0,8
360 health community,0,1,0,32
360 health company,0,1,0,13
360 health services,0,31,0,49.16129032258065
360 healthcare,0,75,0,41.6
360 healthcare clinic,0,1,0,1
360 healthcare inc,0,1,0,3
360 healthcare llc,0,1,0,7
360 home care,0,1,0,4
360 medical,0,4,0,3
360 medical care,0,2,0,4.5
360 medical clinic,0,1,0,1
360 medical group,0,1,0,7
360 nursing,0,1,0,26
360 pharmacy,0,1,0,1
360 screening,0,41,0,56.951219512195124
360 services,0,6,0,33.166666666666664
360 tapestry,0,1,0,43
360 total care,0,1,0,11
360 wallace rd,0,2,0,11
360 wellness clinic,0,1,0,13
360-329,0,1,0,8
360care,0,20,0,5.2
360clinic,0,2,0,8
360healthsvc,0,2,0,20
365 care,0,1,0,6
3656 trousdale dr nashville tn,0,1,0,19
380-219-9436,0,1,0,15
3810 bedford ave nashville tn 37215,0,5,0,41.2
3915 cascade rd,0,1,0,71
3939 hillsboro circle,0,1,0,56
4 u health,0,1,0,3
419 welshwood drive nashville tn,0,1,0,47
4th gen hiv test near me,0,1,0,1
550 clinic,0,1,0,54
552 metroplex dr nashville tn,0,1,0,11
615-360,0,1,0,10
615-610-0900,0,1,0,4
6156479096,0,32,0,17.53125
633 thompson lane nashville tn,0,122,0,7.475409836065574
718-331,0,1,0,4
72 clinic,0,1,0,5
7312563915,0,1,0,25
8586578575,0,1,0,8
901 hiv testing,0,1,0,4
9013128897,0,1,0,18
905 main st nashville tn 37206,0,2,0,40.5
969 frayser blvd,0,2,0,52
a call to care,0,1,0,43
abby thompson nashville,0,2,0,32
abscess drainage near me,0,2,0,12
abx for chlamydia,0,1,0,7
acc clinic,0,3,0,1
acc health care,0,1,0,4
accept care,0,1,0,75
access 360 care,0,1,0,56
access care,0,1,0,1
accomplish 360,0,7,0,22.571428571428573
accomplish360,0,2,0,7.5
action care community clinic,0,1,0,97
adult clinic,0,1,0,9
adult clinics,0,1,0,4
adult special care,0,8,0,70.375
affordable std testing,0,6,0,3
affordable std testing near me,0,1,0,9
affordable sti testing,0,1,0,1
affordable sti testing near me,0,1,0,6
after hours clinic,0,1,0,56
after hours clinic near me,0,1,0,1
ahf,0,2,0,5
ahf center,0,1,0,1
ahf std testing,0,1,0,10
ahf testing center,0,1,0,12
ahf wellness centers,0,3,0,1
